"ID","word","translation","explanation","area","creater","createdDate"
"27","23","хүлээн авагч",,"48","battsetseg@sict.edu.mn","2015-09-11 04:57:25"
"28","24","найдваржилт",,"48","battsetseg@sict.edu.mn","2015-09-11 04:57:49"
"29","25","тойрог тополог",,"48","battsetseg@sict.edu.mn","2015-09-11 04:58:11"
"30","26","од тополог",,"48","battsetseg@sict.edu.mn","2015-09-11 04:58:26"
"31","27","нууцлал хамгаалалт",,"48","battsetseg@sict.edu.mn","2015-09-11 04:58:44"
"32","28","илгээгч",,"48","battsetseg@sict.edu.mn","2015-09-11 04:58:59"
"33","29","нэг чиглэлт дамжууллын горим",,"48","battsetseg@sict.edu.mn","2015-09-11 05:00:06"
"34","30","нэвтрүүлэх чадамж","Нэвтрүүлэх чадамж нь сүлжээгээр дамжигдах өгөгдлийн хэмжээгээр тодорхойлогдоно.","48","battsetseg@sict.edu.mn","2016-11-05 17:00:52"
"235","218","синхрончлол",,"48","battsetseg@sict.edu.mn","2015-10-23 11:09:08"
"36","32","дамжуулах орчин",,"48","battsetseg@sict.edu.mn","2015-09-11 05:01:18"
"37","33","түвшинт загвар",,"48","battsetseg@sict.edu.mn","2015-09-11 05:06:30"
"38","11","массив","Ижил төрөлтэй хувьсагчуудын дараалал","6","naraalkj@gmail.com","2015-09-13 07:30:25"
"40","35","үзүүлэнгийн түвшин",,"48","battsetseg@sict.edu.mn","2015-09-16 02:40:31"
"41","36","сейшн түвшин",,"48","battsetseg@sict.edu.mn","2015-09-16 02:40:49"
"42","37","тээвэрлэлтийн түвшин",,"48","battsetseg@sict.edu.mn","2015-09-16 02:41:20"
"43","38","сүлжээний түвшин",,"48","battsetseg@sict.edu.mn","2015-09-16 02:41:34"
"44","39","сувгийн түвшин",,"48","battsetseg@sict.edu.mn","2015-09-16 02:41:48"
"45","40","физик түвшин",,"48","battsetseg@sict.edu.mn","2015-09-16 02:42:20"
"46","41","бит",,"48","battsetseg@sict.edu.mn","2015-09-16 02:42:52"
"47","42","кодлол",,"48","battsetseg@sict.edu.mn","2015-09-16 02:43:15"
"48","43","алдаа",,"48","battsetseg@sict.edu.mn","2015-09-16 02:43:27"
"49","44","өгөгдлийн урсгалын хяналт",,"48","battsetseg@sict.edu.mn","2015-09-16 02:43:52"
"50","45","толгой мэдээлэл",,"48","battsetseg@sict.edu.mn","2015-09-16 02:44:18"
"51","46","төгсгөлийн мэдээлэл, толгой мэдээлэл",,"48","battsetseg@sict.edu.mn","2015-09-16 02:45:00"
"1132","1073","Төлбөрт телевизийн үйлчилгээний нийт хөрөнгө оруулалт","Төлбөрт телевизийн (кабелийн телевиз) үйлчилгээнд оруулсан нийт хөрөнгө оруулалтын хэмжээгээр тодорхойлогдоно","50","lkhagbasuren_tc@yahoo.com","2015-12-15 11:30:10"
"777","714","суурин телефоны шугам, суурин телефон утас, суурин телефон хэрэглэгч","Суурин телефон утасны шугам,нь хэрэглэгчийн терминалыг (төхөөрөмжийг) нийтийн телефон  сүлжээнд (PSTN, ISDN, WLL, VoIP) холбож өгдөг, телефон холболтын төв станцын гол идэвхтэй* шугам. *Идэвхтэй шугам гэдэг нь сүүлийн 3 сар тасралтгүй үйл ажиллагаатай байгаа шугамыг хэлнэ.Энэ нэр томъёо нь харилцаа холбооны бичиг баримтад голлон ашиглагддаг ","50","lkhagbasuren_tc@yahoo.com","2015-11-18 22:00:06"
"54","48","логик хаяг",,"48","battsetseg@sict.edu.mn","2015-09-16 02:46:34"
"55","49","нээлттэй систем",,"12","battsetseg@sict.edu.mn","2015-10-28 06:11:49"
"56","50","цэгээс-цэгт үйлчилгээ, цэгээс-цэгт процесс",,"48","battsetseg@sict.edu.mn","2015-09-16 02:47:25"
"57","51","физик хаяг",,"48","battsetseg@sict.edu.mn","2015-09-16 02:47:44"
"58","52","порт хаяг",,"48","battsetseg@sict.edu.mn","2015-09-16 02:48:05"
"59","53","замчлал",,"48","battsetseg@sict.edu.mn","2015-09-16 02:48:38"
"60","54","дамжууллын хурд",,"48","battsetseg@sict.edu.mn","2015-09-16 02:50:19"
"61","55","аналог",,"48","battsetseg@sict.edu.mn","2015-09-18 02:40:52"
"62","56","тоон",,"48","battsetseg@sict.edu.mn","2015-09-18 02:41:07"
"63","57","аналог өгөгдөл",,"48","battsetseg@sict.edu.mn","2015-09-18 02:41:20"
"64","58","тоон өгөгдөл",,"48","battsetseg@sict.edu.mn","2015-09-18 02:41:31"
"65","59","аналог дохио",,"48","battsetseg@sict.edu.mn","2015-09-18 02:41:45"
"66","60","тоон дохио",,"48","battsetseg@sict.edu.mn","2015-09-18 02:41:59"
"67","61","унтралт","Унтралт гэдэг нь энергийн алдагдал юм. Энгийн эсвэл нийлмэл дохио нь орчноор дамжихдаа орчны эсэргүүцлийн улмаас энергиэ алддаг.","48","battsetseg@sict.edu.mn","2016-11-05 16:47:17"
"68","62","өргөн зурвасын дамжууллын суваг",,"48","battsetseg@sict.edu.mn","2015-09-18 02:44:08"
"69","31","зурвас, зурвасын өргөн",,"48","battsetseg@sict.edu.mn","2015-09-18 02:43:26"
"70","63","үндсэн зурвасын дамжуулал",,"48","battsetseg@sict.edu.mn","2015-09-18 02:45:19"
"71","64","бит хурд","Бит хурд гэдэг нь секундэд илгээгдэх битийн тоо хэмжээ бөгөөд бит/с нэгжтэй байна.","48","battsetseg@sict.edu.mn","2016-11-05 16:42:38"
"72","65","өргөн зурвасын дамжуулал",,"48","battsetseg@sict.edu.mn","2015-09-18 02:45:58"
"73","66","нийлмэл дохио",,"48","battsetseg@sict.edu.mn","2015-09-18 02:46:12"
"74","67","цикл",,"48","battsetseg@sict.edu.mn","2015-09-18 02:46:23"
"75","68","децибэл","Дохионы унтралтыг хэмжих нэгж.","48","battsetseg@sict.edu.mn","2015-09-18 05:31:08"
"76","69","гажуудал","Дохионы хэлбэр өөрчлөгдөхийг гажуудал гэнэ. Гажуудал нь ялгаатай олон давтамжтай дохионуудаас бүрдэх нийлмэл дохионд үүсдэг. Бүрэлдэхүүн дохио бүр өөрийн тархах хурдаар орчноор тархдаг. Үүний улмаас хүлээн авагчид ялгаатай сааталтайгаар хүрч ирнэ. Саатлын ялгаа нь фазын шилжилтийг үүсгэх магадлалтай. Өөрөөр хэлбэл, хүлээн авагч дээрх бүрэлдэхүүн дохионууд нь илгээгч дээрхээс ялгаатай фазтай болно. Иймд нийлмэл дохио нь хэлбэрээ алддаг.","48","battsetseg@sict.edu.mn","2016-11-05 16:57:17"
"77","70","давтамж",,"48","battsetseg@sict.edu.mn","2015-09-18 02:47:00"
"78","71","гармоник, хэлбэлзэл",,"48","battsetseg@sict.edu.mn","2015-09-18 02:47:19"
"79","72","нам дамжууллын суваг",,"48","battsetseg@sict.edu.mn","2015-09-18 02:47:38"
"80","73","шуугиан","Шуугиан нь дохионд үүсэх гэмтлийн нэг хэлбэр. Шуугиан үүсэх шалтгаан олон янз байдаг. Жишээлбэл: дулааны, нөлөөцийн, кросстокын, импульсийн гэх мэт. Дулаанаас үүсэх шуугиан гэдэг нь утсан дахь электроны эмх замбараагүй хөдөлгөөний улмаас нэмэлт дохио үүсэхийг хэлнэ. Нөлөөцөөс үүсэх шуугиан гэдэг нь төхөөрөмжийн бүрэлдэхүүн хэсгүүдээр үүсгэгддэг шуугиан юм. Жишээ нь илгээгч болон хүлээн авагч антеннаар үүсгэгдэж болно. Кроссток гэдэг нь дамжуулагч утаснуудын харилцан нөлөөллийн улмаас дохио өөрчлөгдөхийг хэлнэ. Импульсийн шуугиан нь эгшин зуурын хугацаан дахь энергийн өсөлтөөс үүсдэг.","48","battsetseg@sict.edu.mn","2016-11-05 16:58:47"
"81","74","үет бус дохио",,"48","battsetseg@sict.edu.mn","2015-09-18 02:48:09"
"82","75","үе",,"48","battsetseg@sict.edu.mn","2015-09-18 02:48:25"
"83","76","үет дохио",,"48","battsetseg@sict.edu.mn","2015-09-18 02:48:40"
"84","77","фаз",,"48","battsetseg@sict.edu.mn","2015-09-18 02:48:50"
"85","78","боловсруулалтын хугацаа, боловсруулалтын саатал",,"48","battsetseg@sict.edu.mn","2015-09-18 02:49:29"
"86","79","тархалтын хурд",,"48","battsetseg@sict.edu.mn","2015-09-18 02:49:42"
"87","80","тархалтын хугацаа, тархах хугацаа","Тархалтын хугацаа нь битийн эх үүсгүүрээс хүлээн авагчид хүрэх хугацаагаар тодорхойлогдоно.","48","battsetseg@sict.edu.mn","2016-11-05 17:04:30"
"88","81","дарааллын хугацаа, дарааллын саатал","Дундын төхөөрөмж болон хүлээн авагч төхөөрөмж дээр өгөгдлийн мессежийг болосвруулахад дарааллын хугацаа зарцуулдаг. Дарааллын хугацаа нь сүлжээний ачаалал болон төхөөрөмжийн хүчин чадлаас хамаардаг тул хувьсах байна. Сүлжээний ачаалал болон дарааллын хугацаа нь шууд хамааралтай.","48","battsetseg@sict.edu.mn","2016-11-05 17:08:13"
"89","82","дохио шуугианы харьцаа",,"48","battsetseg@sict.edu.mn","2015-09-18 02:50:48"
"91","83","дамжууллын хугацаа","Өгөгдлийн холбоонд бид зөвхөн нэг бит дамжуулдаггүй, мессеж дамжуулдаг. Мессежийн эхний бит тархалтын хугацаа зарцуулан хүлээн авах төхөөрөмжид хүрнэ. Сүүлийн бит мөн ижил хугацаа зарцуулан хүлээн авагчид хүрнэ. Эхний битийн эх үүсгүүр төхөөрөмжөөс гарах хугацаа сүүлийн битийн эх үүсгүүрээс гарах хугацаанаас өмнө байна. Тэгэхээр сүүлийн бит хүлээн авагчид ирэх хугацаа мөн эхний битээс хойно байна гэсэн үг юм. Сувгийн хурд ба өгөгдлийн мессежийн хэмжээнээс хамааран мессежийг дамжуулахад хугацаа зарцуулж байна. Үүнийг бид дамжууллын хугацаа гэж нэрлэдэг.","48","battsetseg@sict.edu.mn","2016-11-05 17:05:49"
"92","84","долгионы урт",,"48","battsetseg@sict.edu.mn","2015-09-18 02:51:30"
"93","85","зурвас-саатлын үржвэр","Зурвас саатлын үржвэр нь шугамыг дүүргэх битийг тодорхойлдог.","48","battsetseg@sict.edu.mn","2016-11-05 17:11:34"
"94","86","аналогоос-тоон хувиргалт","Тоон дохиогоор дамжигдах аналог өгөгдлийн дүрслэл.","43","battsetseg@sict.edu.mn","2020-01-10 19:31:38"
"95","87","асинхрон дамжуулал",,"48","battsetseg@sict.edu.mn","2015-09-18 05:41:04"
"96","88","бод хурд","Бод хурд нь секундэд дамжигдах дохионы элементийн тоогоор илэрхийлэгдэх ба бод/с (baud/s) нэгжээр хэмжигдэнэ.","48","battsetseg@sict.edu.mn","2016-11-05 17:29:03"
"97","89","блок кодлол",,"48","battsetseg@sict.edu.mn","2015-09-18 05:41:37"
"98","90","өгөгдлийн элемент","Мэдээг илэрхийлсэн өгөгдлийн хамгийн жижиг нэгжийг өгөгдлийн элемент гэх ба энэ нь бит байна.","48","battsetseg@sict.edu.mn","2016-11-07 10:33:13"
"99","91","өгөгдөл дамжигдах хурд, өгөгдлийн хурд","Өгөгдлийн хурд нь секундэд дамжигдах өгөгдлийн элементийн тоогоор илэрхийлэгдэх ба бит/с (bps) нэгжтэй байна.","48","battsetseg@sict.edu.mn","2016-11-07 10:35:09"
"100","92","делта модуляц",,"48","battsetseg@sict.edu.mn","2015-09-18 05:42:25"
"101","93","тооноос-тоон хувиргалт","Тоон дохиогоор дамжигдах тоон өгөгдлийн дүрслэл.","48","battsetseg@sict.edu.mn","2016-11-09 15:37:10"
"102","94","аналогоос-аналог хувиргалт","Аналог дохиогоор дамжигдах аналог өгөгдлийн дүрслэл.","48","battsetseg@sict.edu.mn","2016-11-09 15:37:36"
"103","95","тооноос-аналог хувиргалт","Аналог дохиогоор дамжигдах тоон өгөгдлийн дүрслэл.","48","battsetseg@sict.edu.mn","2016-11-09 15:36:33"
"104","96","шугаман кодлол","Шугаман кодлол гэдэг нь тоон өгөгдлийг тоон дохионд хувиргах процессыг хэлнэ.","48","battsetseg@sict.edu.mn","2016-11-07 10:43:09"
"105","97","модуляцын хурд, дохионы хурд, импульс хурд",,"48","battsetseg@sict.edu.mn","2015-09-19 00:13:33"
"106","98","параллель дамжуулал, зэрэгцээ дамжуулал",,"48","battsetseg@sict.edu.mn","2015-09-19 00:14:55"
"107","99","импульс агууригийн модуляц",,"48","battsetseg@sict.edu.mn","2015-09-19 00:15:28"
"108","100","импульс кодын модуляц",,"48","battsetseg@sict.edu.mn","2015-09-19 00:15:47"
"109","101","квантлал",,"48","battsetseg@sict.edu.mn","2015-09-19 00:16:13"
"110","102","квантлалын алдаа",,"48","battsetseg@sict.edu.mn","2015-09-19 00:16:30"
"111","103","тасалдуулга, дискретчлэл",,"48","battsetseg@sict.edu.mn","2015-09-19 00:16:52"
"112","104","тасалдуулга хурд",,"48","battsetseg@sict.edu.mn","2015-09-19 00:17:22"
"113","105","цуваа дамжуулал, сериал дамжуулал",,"48","battsetseg@sict.edu.mn","2015-09-19 00:18:06"
"114","106","дохионы элемент","Дохионы хамгийн богино нэгж буюу дүрслэлийг дохионы элемент гэнэ.","48","battsetseg@sict.edu.mn","2016-11-07 10:33:39"
"115","107","импульс хурд, дохионы хурд, модуляцын хурд",,"48","battsetseg@sict.edu.mn","2015-09-19 00:18:58"
"116","108","дохионы хурд, импульс хурд, модуляцын хурд","Дохионы хурд нь секундэд дамжигдах дохионы элементийн тоогоор илэрхийлэгдэх ба бод/с (baud/s) нэгжээр хэмжигдэнэ.","48","battsetseg@sict.edu.mn","2016-11-07 10:35:36"
"118","109","туйлт бус шугаман кодлол",,"48","battsetseg@sict.edu.mn","2015-09-19 00:20:32"
"119","110","туйлт шугаман кодлол",,"48","battsetseg@sict.edu.mn","2015-09-19 00:20:52"
"120","111","хос туйлт шугаман кодлол",,"48","battsetseg@sict.edu.mn","2015-09-19 00:21:09"
"121","112","зөөгч дохио","Тооноос-аналог, аналогоос-аналог модуляцын үед ашиглагдах өндөр давтамжтай дохио.","48","battsetseg@sict.edu.mn","2016-11-09 15:26:33"
"122","113","агууриг солих модуляц",,"48","battsetseg@sict.edu.mn","2015-09-19 00:22:39"
"123","114","давтамж солих модуляц",,"48","battsetseg@sict.edu.mn","2015-09-19 00:22:56"
"124","115","фаз солих модуляц",,"48","battsetseg@sict.edu.mn","2015-09-19 00:23:12"
"125","116","квадрат агууригийн модуляц",,"48","battsetseg@sict.edu.mn","2015-09-19 00:23:31"
"126","117","бод","дохионы элементийг хэмжих нэгж","48","battsetseg@sict.edu.mn","2015-09-23 09:53:08"
"127","118","өгөгдлийн сангийн систем",,"6","battsetseg@sict.edu.mn","2015-09-23 09:56:23"
"128","119","суваг",,"48","battsetseg@sict.edu.mn","2015-09-23 20:54:05"
"129","120","нягтруулга",,"48","battsetseg@sict.edu.mn","2015-09-23 20:54:34"
"3787","3710","давтамжийн хуваалттай нягтруулга","Давтамжийн хуваалттай нягтруулга (FDM) гэдэг нь шугамын зурвасын өргөн (Гц) дамжигдах дохионуудын нийт зурвасын өргөнөөс их байх тохиолдолд хэрэглэгдэх аналог нягтруулгын арга юм. FDM-ын үед илгээгч төхөөрөмж бүрийн гаргаж буй дохиог төхөөрөмж бүрт оногдсон ялгаатай зөөгч давтамжтай дохионуудаар модуляцалдаг ба эдгээр модуляцлагдсан дохионуудыг нэгтгэн нэг шугамаар дамжуулдаг.","48","battsetseg@sict.edu.mn","2016-11-07 11:11:46"
"3790","3713","хугацааны хуваалттай нягтруулга",,"48","battsetseg@sict.edu.mn","2016-11-07 11:15:14"
"3789","3712","долгионы уртын хуваалттай нягтруулга","долгионы уртын хуваалттай нягтруулга","50","battsetseg@sict.edu.mn","2018-11-17 21:40:23"
"133","124","хамгаалах зурвас",,"48","battsetseg@sict.edu.mn","2015-09-23 20:56:21"
"134","125","үсрэлтийн үе",,"48","battsetseg@sict.edu.mn","2015-09-23 20:58:02"
"135","126","шугам",,"48","battsetseg@sict.edu.mn","2015-09-23 20:58:20"
"3796","3718","давтамжийн үсрэлттэй тархалтын спектрийн арга",,"48","battsetseg@sict.edu.mn","2016-11-09 12:35:59"
"3799","3721","оптик кабель",,"48","battsetseg@sict.edu.mn","2016-11-09 12:40:59"
"3797","3719","шууд урсгалын дарааллын тархалтын спектрийн арга",,"48","battsetseg@sict.edu.mn","2016-11-09 12:36:49"
"3798","3720","телеграф",,"48","battsetseg@sict.edu.mn","2016-11-09 12:40:12"
"138","129","ойлгогч бүрхүүл","оптик кабелийн бүрэлдэхүүн","48","battsetseg@sict.edu.mn","2015-09-23 21:11:37"
"139","130","шөрмөс","оптик кабелийн бүрэлдэхүүн","48","battsetseg@sict.edu.mn","2015-09-23 21:12:11"
"140","131","хязгаарын өнцөг",,"14","battsetseg@sict.edu.mn","2015-09-23 21:13:05"
"141","132","газрын гадаргуугийн тархалт",,"48","battsetseg@sict.edu.mn","2015-09-23 21:13:31"
"142","133","чиглүүлэгтэй дамжуулах орчин",,"48","battsetseg@sict.edu.mn","2015-09-23 21:13:53"
"143","134","чиглүүлэггүй дамжуулах орчин",,"48","battsetseg@sict.edu.mn","2015-09-23 21:14:06"
"3819","3740","IrDA порт",,"48","battsetseg@sict.edu.mn","2016-11-09 13:07:08"
"145","136","үзэгдэх орчны тархалт",,"48","battsetseg@sict.edu.mn","2015-09-23 21:14:59"
"146","137","тавган антенн",,"48","battsetseg@sict.edu.mn","2015-09-23 21:15:23"
"147","138","огторгуйн тархалт",,"48","battsetseg@sict.edu.mn","2015-09-23 21:15:43"
"148","139","мушгиа хос кабель",,"48","battsetseg@sict.edu.mn","2015-09-23 21:15:58"
"149","140","радио долгион",,"48","battsetseg@sict.edu.mn","2015-09-23 21:16:38"
"150","141","бичил долгион",,"48","battsetseg@sict.edu.mn","2015-09-23 21:16:52"
"151","142","нэг-модын оптик кабель",,"48","battsetseg@sict.edu.mn","2015-09-23 21:17:42"
"152","143","олон-модын оптик кабель",,"48","battsetseg@sict.edu.mn","2015-09-23 21:18:07"
"153","144","дамжуулах орчин","Дамжуулах орчин гэдэг нь илгээгч, хүлээн авагч хоёрын хооронд өгөгдөл дамжигдах физик зам. Мушгиа хос, коаксиал, оптик кабелиуд болон агаар.","48","battsetseg@sict.edu.mn","2016-11-05 16:05:25"
"154","145","холболтын техник",,"48","battsetseg@sict.edu.mn","2015-09-27 21:40:56"
"3751","3675","життер","Життер нь пакетын дамжигдах хугацааны өөрчлөлттэй холбоотой. Энэ нь аудио, видео пакет дамжууллын тэгш бус саатал юм.","48","battsetseg@sict.edu.mn","2016-11-05 16:04:14"
"156","147","багцын холболттой сүлжээ",,"48","battsetseg@sict.edu.mn","2015-09-27 21:41:42"
"157","148","виртуал сувгийн холболттой сүлжээ",,"48","battsetseg@sict.edu.mn","2015-09-27 21:42:17"
"158","149","датаграм",,"48","battsetseg@sict.edu.mn","2015-09-27 21:43:07"
"159","150","холболтын сүлжээ, холбооны сүлжээ",,"48","battsetseg@sict.edu.mn","2015-09-27 21:45:07"
"160","151","төгсөлтийн төхөөрөмж, төгсгөлийн систем",,"48","battsetseg@sict.edu.mn","2015-09-27 21:45:42"
"161","152","датаграм сүлжээ",,"48","battsetseg@sict.edu.mn","2015-09-27 21:46:28"
"162","153","суваг үүсгэх үе","Сувгийн холболттой сүлжээний хоёр төхөөрөмж өгөгдөл солилцохын тулд илгээгч төхөөрөмжөөс холболтын хүсэлт илгээгдэх ба хүлээн авагч болон дундын холбох төхөөрөмжүүд зөвшөөрснөөр илгээгч ба хүлээн авагч төхөөрөмж хооронд холболт тогтоно. Ингэснээр шугамууд логик суваг үүсгэн илгээгч ба хүлээн авагч хооронд зориулагдсан зам бүхий холболт үүсдэг. Энэ процессыг сувгийн холболттой сүлжээний суваг үүсгэх үе гэж нэрлэдэг.","48","battsetseg@sict.edu.mn","2015-09-27 21:53:25"
"163","154","суваг төгсгөх үе","Сувгийн холболттой сүлжээнд илгээгч ба хүлээн авагч хооронд өгөгдөл дамжигдаж дууссаны дараа аль нэг төхөөрөмжөөс дуусгах хүсэлт илгээснээр сүлжээний нөөцүүдийг дараагийн дамжуулалд зориулж чөлөөлнө.","48","battsetseg@sict.edu.mn","2015-09-27 21:56:31"
"164","155","саатал","Саатал гэдэг нь өгөгдлийн мессеж эх үүсгүүр төхөөрөмжөөс хүлээн авагч төхөөрөмжид бүрэн хүлээн авагдахад зарцуулагдах хугацаагаар тодорхойлогдоно. Саатлыг бид тархалтын хугацаа, дамжууллын хугацаа, дарааллын хугацаа, боловсруулалтын хугацаа гэсэн үндсэн дөрвөн бүрэлдэхүүн хэсэгт авч үздэг.","48","battsetseg@sict.edu.mn","2016-11-05 17:03:41"
"165","156","замчлалын хүснэгт",,"48","battsetseg@sict.edu.mn","2015-09-27 21:57:44"
"166","157","хүлээн авагчийн хаяг","Өгөгдлийн нэгжийг хүлээн авах төхөөрөмжийн хаяг","48","battsetseg@sict.edu.mn","2016-11-09 15:35:24"
"167","158","хүлээн авагч",,"48","battsetseg@sict.edu.mn","2015-09-27 21:58:44"
"168","159","илгээгчийн хаяг","Өгөгдлийн нэгжийг илгээж буй төхөөрөмжийн хаяг","43","battsetseg@sict.edu.mn","2020-01-10 19:31:24"
"169","160","илгээгч",,"48","battsetseg@sict.edu.mn","2015-09-27 21:59:07"
"170","161","модем",,"48","battsetseg@sict.edu.mn","2015-09-27 22:00:54"
"171","89","блок кодлол",,"48","battsetseg@sict.edu.mn","2015-09-27 22:01:33"
"172","162","багц битийн алдаа",,"48","battsetseg@sict.edu.mn","2015-09-27 22:01:50"
"173","163","битийн алдаа",,"48","battsetseg@sict.edu.mn","2015-09-27 22:02:11"
"174","164","шалгах код",,"48","battsetseg@sict.edu.mn","2015-09-27 22:02:45"
"175","165","эх өгөгдөл",,"48","battsetseg@sict.edu.mn","2015-09-27 22:03:03"
"176","166","кодлогдсон өгөгдөл",,"48","battsetseg@sict.edu.mn","2015-09-27 22:03:17"
"177","167","цикл код",,"48","battsetseg@sict.edu.mn","2015-09-27 22:03:37"
"3833","3754","цикл кодоор шалгах арга",,"48","battsetseg@sict.edu.mn","2016-11-09 13:28:59"
"179","43","алдаа",,"48","battsetseg@sict.edu.mn","2015-09-27 22:05:37"
"180","169","шууд засалтын арга",,"48","battsetseg@sict.edu.mn","2015-09-27 22:06:12"
"181","170","эргэн засалтын арга, дахин дамжуулал",,"48","battsetseg@sict.edu.mn","2015-09-27 22:07:37"
"182","171","хэмингийн кодын арга",,"48","battsetseg@sict.edu.mn","2015-09-27 22:08:12"
"183","172","хэмингийн зай",,"48","battsetseg@sict.edu.mn","2015-09-27 22:08:28"
"184","173","парити бит",,"48","battsetseg@sict.edu.mn","2015-09-27 22:08:55"
"185","174","парити битээр шалгах арга",,"48","battsetseg@sict.edu.mn","2015-09-27 22:09:14"
"186","175","хоёр хэмжээст парити битээр шалгах арга",,"48","battsetseg@sict.edu.mn","2015-09-27 22:09:41"
"187","176","өгөгдлийн сувгийн хяналт",,"48","battsetseg@sict.edu.mn","2015-09-27 22:11:39"
"188","177","баталгааны фрейм, баталгааны мэдээлэл",,"48","battsetseg@sict.edu.mn","2015-09-27 22:12:27"
"189","178","бит хандалтат протокол",,"48","battsetseg@sict.edu.mn","2015-09-27 22:13:43"
"190","179","байт хандалтат протокол",,"48","battsetseg@sict.edu.mn","2015-09-27 22:13:59"
"191","179","байт хандалтат протокол",,"48","battsetseg@sict.edu.mn","2015-09-27 22:13:59"
"192","180","битээр дүүргэх процесс",,"48","battsetseg@sict.edu.mn","2015-09-27 22:14:19"
"193","181","байтаар дүүргэх процесс",,"48","battsetseg@sict.edu.mn","2015-09-27 22:14:35"
"194","182","алдааны хяналт",,"48","battsetseg@sict.edu.mn","2015-09-27 22:14:57"
"195","183","тусгай тэмдэгт",,"48","battsetseg@sict.edu.mn","2015-09-27 22:15:13"
"196","184","флаг",,"48","battsetseg@sict.edu.mn","2015-09-27 22:15:30"
"3824","3745","сувгийн түвшний хаяг, МАС хаяг",,"48","battsetseg@sict.edu.mn","2016-11-09 13:18:45"
